Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
"Congo, Rep.","Law on Copyright and Neighbouring Rights, 1982 (Law No. 24/82 of July 7, 1982) (Congo), https://wipolex.wipo.int/en/text/152625 

Bangui Agreement only says ""Congo""",,,,,"Article 33.
Notwithstanding Article 28, the following uses of a protected work, either in the original language or in translation, shall be permissible without the author's consent:
1. In the case of a work that has been Iawfully published:
(a) the reproduction, translation, adaptation, arrangement or any other transformation of such work exclusively for the user's own personal and private use;
(b) the inclusion, subject to the mention of the source and the name of the author, of quotations from such work in another work, provided that such quotations are compatible with fair practice and their extent does not exceed that justified by the purpose, including quotations from newspaper articles and periodicals in the form of press summaries;

Bangui. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

",
Cook Islands,Copyright Act 2013 https://wipolex.wipo.int/en/text/357971,,,,"Section 20. Copying by libraries, archives, museus, and galleries
….
(5) A cultural institution does not infringe copyright in a work in its collection by copying the work for the purpose of allowing access to that copy by users of the institution whether for personal use or study on the institution's premises (with or without technical equipment) or by way of loan.

",,
Costa Rica,"Law on Copyright and Related Rights, 1982 (Ley N° 6683, de 14 octubre de 1992, sobre el Derecho de Autor y Derechos Conexos, así reformada por la Ley N° 8834 de 3 de mayo de 2010) (Costa Rica), https://wipolex.wipo.int/en/text/247913",,,,,"Article 74. (Private/personal use)
The reproduction of a didactic or scientific work is also free, carried out personally and exclusively by the interested party for their own use and without direct or indirect profit. This reproduction must be made in a single copy, typed or manuscript. This provision does not apply to computer programs.

",
Côte d'Ivoire,"Bangui Agreement / / Also Law No. 2016-555 of July 26, 2016, on Copyright And Related Rights https://wipolex.wipo.int/en/text/436013 (French version only, also orange)",,,,,"Bangui Agreement. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Croatia,"Copyright and Related Rights Act and Acts on Amendments to the Copyright and Related Rights Act (OG Nos. 167/2003, 79/2007, 80/2011, 141/2013 & 127/2014) (Croat.), https://wipolex.wipo.int/en/text/537702",,,,"Article 84. Public archives, public libraries, educational and scientific institutions, preschool educational institutions and social (charitable) institutions pursuing non-commercial purposes may reproduce the work from their own copy to any media in not more than one copy. 

",,
Cuba,"Cuba 
Copyright Law, 1977 (Law No. 14 of December 28, 1977, as amended by Decree-Law No. 156 of September 28, 1994),
",,,,"Article 38. On the Use of a Work without the Author's Consent and without Remuneration
It is lawful, without the consent of the author and without remuneration to the same, but with mandatory reference to their name and source, provided that the work is public knowledge, and respecting its specific values:
….
d) reproduce a work by a photographic or other analogous procedure, when the reproduction is made by a library, a documentation center, a scientific institution or an educational establishment, and provided that it is done on a non-profit basis and that the number of copies is strictly limited to the needs of a specific activity;
",,
Curaçao ,"""Copyright Ordinance 1913, Amended by: 1) National Ordinance of 7 May 1975 (National Gazette 1975 no. 70) enforceability
established by National Decree of 7 October 1975, no. 9, (National Gazette 1975 no. 192)
as of 1 December 1975. https://www.bip.cw/wp-content/uploads/2017/07/COPYRIGHT-ORDINANCE-1913.pdf""",,,,,"""Article 17. 1. As a violation of the copyright on a work of literature, science or art is not considered the multiplication, which remains limited to a few copies and exclusively serves as private practice, study or use and where applicable, a work as referred to in article 10. 6º., by its size or by the procedure according to which it has been produced, shows a clear difference with the original work.
2. This provision is not applicable with respect to the copying of buildings. """,
Cyprus,"Cyprus
Law on Copyright and Related Rights,1976 (Law No. 59/1976, as amended up to Law No. 77 (I)/2019) (Cyprus), https://wipolex.wipo.int/en/legislation/details/19025 ","Section 7(2)(a).
Copyright does not include the right to control:
(a) The performance of any of the acts mentioned above, in the spirit of good faith for the purpose of investigation, individual use, critical review or reference to current events, provided that, if such use is made public, it is accompanied by its recognition, title and paternity of the work, with the exception of the case where the work was incidentally included in a show;
[note - the 1993 version of this law contains the same text, but WIPO has the text in English - and ‘spirit of good faith’ is translated as ‘fair dealing’. Here is the full text of the section of the article: “Provided that copyright in any such work shall not include the right to control— (a) the doing of any of the aforesaid acts by way of fair dealing for purposes of research, private use, criticism or review, or the reporting of current events, on condition that, if such use is made in public, it shall be accompanied by an acknowledgement of the title of the work and its authorship, except where the work is incidentally included in a broadcast; “]

",,,,,
Czech Republic,"Copyright Act, 2000 (Consolidated version of Act No. 121/2000 Coll., on Copyright and Related Rights and on Amendment to Certain Acts (the Copyright Act), as amended by Act No. 81/2005 Coll., Act No. 61/2006 Coll. and Act No. 216/2006 Coll.) (Czech), https://www.wipo.int/edocs/lexdocs/laws/en/cz/cz043en.pdf",,,"Article 30 - Free Uses
(1) Not considered as exploitation of a work under this Act shall be its use for personal needs by a natural person without seeking to achieve direct or indirect economic benefit, unless otherwise specified herein.
(2) Copyright shall therefore not be infringed by anybody who for his own personal use makes a fixation, reproduction or imitation of a work. 


",,,
Democratic People's Republic of Korea (N. Korea),"Copyright Law of the Democratic People's Republic of Korea (as amended by Decree No. 1532 of February 1, 2006, of the Presidium of the Supreme People's Assembly) https://wipolex.wipo.int/en/legislation/details/9722",,,"Article 32. Use of copyrighted work without permission
A copyrighted work may be used without the permission of the copyright holder in the following cases: 
1. when a copyrighted work is reproduced or translated for use by an individual or within the family;

",,,
Denmark,"Consolidated Act on Copyright 2014 (Consolidate Act No. 1144 of October 23, 2014, on Copyright) (Den.), https://wipolex.wipo.int/en/text/546839",,,"
",,"Section 12. Reproduction for Private Use
12.(1) Anyone is entitled to make or have made, for private purposes, single copies of works which have been made public if this is not done for commercial purposes. Such copies must not be used for any other purpose.
(2) The provision of subsection (1) does not provide the right to
(i) construct a work of architecture;
(ii) make a copy of a work of art by casting, by printing from an original negative or base, or in any other manner implying that the copy can be considered as an original;
(iii) make copies of computer programs in digitized form;
(iv) make copies in digital form of databases if the copy is made on the basis of a reproduction of the database in digital form; or
(v) make single copies in digital form of other works than computer programs and databases unless this is done exclusively for the personal use of the copying person himself or his household.
(3) Notwithstanding the provision in subsection (2) (v), it is not permitted without the consent of the author to produce copies in digital form on the basis of a copy that has been lent or hired.",
Djibouti,"Law No. 154/AN/06 of July 23, 2006, on the Protection of Copyright and Related Rights https://wipolex.wipo.int/en/text/260882",,,,,"Article 54.­ Limitations to copyright
Notwithstanding the provisions of Article 10, the following uses of a protected work shall be permissible without the author’s consent in the case of a protected work that has been lawfully published:
(a) the reproduction, translation, adaptation, arrangement or other transformation of such a work exclusively for the producer’s own personal or private use;

",
Dominica - yellow,"Copyright Act, 2003 (Act 5 of 2003) (Dominica), https://wipolex.wipo.int/en/legislation/details/1189",,,,,"63. (1) Notwithstanding the provisions of section 10(1)(a), and subject to the provisions of subsection (2), the private reproduction of a published work in a single copy shall be permitted without the authorization of the author or owner of copyright where the reproduction is made by any person exclusively for his own personal purposes. 
(2) The authorization under subsection (1) shall not extend to the reproduction
(a) of a work of architecture in the form of building or other construction;
(b) in the form of reprography, of the whole or a substantial part of a book or a recording of a musical work, a sound recording or a film by electronic means;
(c) of the whole or a substantial part of a database in digital form;
(d) of a computer programme, except as provided in section 70; and
(e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright.",
Dominican Republic,"Law No. 65-00 on August 21, 2000, on Copyright https://wipolex.wipo.int/en/text/275676",,,,,"Article 37. (Private/personal use)
It shall be lawful to reproduce once and in a single copy a literary or scientific work for personal use and not for profit­-making purposes, without prejudice to the right of the right holder to obtain equitable remuneration for the reprographic reproduction or for the private copying of a sound or audiovisual recording, in the manner established under the Regulations. Computer programs shall be governed by the guidelines expressly established in the special provisions of this Law relating to such works.

",
Ecuador,Intellectual Property Law (consolidated version No.2006-13) https://wipolex.wipo.int/en/text/281172 ,,,,,"Article 212.- Acts that do not require authorization for their use.- Notwithstanding the provisions of the previous article, in accordance with the nature of the work, the international instruments to which Ecuador is a party and the principles of this Code, no It will constitute a violation of the patrimonial rights of the rights holder, those cases determined in this article, provided that they do not threaten the normal exploitation of the works and do not cause unjustified damage to the legitimate interests of the owner or owners of the rights. In this sense, the following acts do not require the authorization of the rights holder and are not subject to any remuneration: ...7. The reproduction, adaptation, distribution or public communication for scientific or educational purposes and to guarantee access to people with disabilities of architectural, photographic, fine arts, applied art or other similar works, which are permanently located in places open to the public, through photography, painting, drawing, filming or any other similar technique or procedure, provided that the name of the author of the original work is indicated, if known, and the place where it is located;","212.
9.viii. Text mining. Libraries and archives and their officials shall be exempt from responsibility for the acts carried out by their users as long as they act in good faith and have reasonable grounds to believe that the work protected by copyright or provision protected by neighboring rights has been used within the framework allowed by the limitations and exceptions provided in this Paragraph or in a way that is not restricted by rights over the work or performance, or that said work or performance is in the domain public or under a license that allows its use;
"
Egypt,,,,,,"Article 171. (Reproduction exceptions)
Without prejudice to the moral rights of the author under this Law, the author may not, after the publication of the work, prevent third parties from carrying out any of the following acts: 
….
(2) Make a single copy of the work for one's exclusive personal use, provided that such a copy shall not hamper the normal exploitation of the work nor cause undue prejudice to the legitimate interests of the author or copyright holders; 

",
El Salvador,"Law on Intellectual Property (As Amended up to Legislative Decree No. 611 Of February 15, 2017) https://wipolex.wipo.int/en/text/455849 (Spanish version only)",,,,,"Article 45. (Copyright exceptions)
Regarding works already lawfully disclosed, it is allowed without authorization of the author or remuneration:
a) The reproduction of a copy of the work for the personal and exclusive use of the user, made by the interested party with his own means, provided that it does not attempt against the normal exploitation of the work, nor does it cause unjustified damage to the interests legitimate of the author;

",
Equatorial Guinea ,BANGUI,,,"
",,"Bangui Agreement. Article 11. Free Reproduction for Private Purposes 
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user. 


UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Eritrea,,,,,,Art. 1660. Limitation of speeches or articles. (2) Copies or reproductions of the work made in a single copy shall be permitted where they are intended for private use only.,
Estonia,"COPYRIGHT ACT (CONSOLIDATED TEXT OF APRIL 1, 2019) https://wipolex.wipo.int/en/text/510476","TDM


Section 19. Free use of works for scientific, educational, informational and judicial purposes 
The following is permitted without the authorisation of the author and without payment of remuneration if mention is made of the name of the author of the work, if it appears thereon, the name of the work and the source publication: ...


3) processing of an object of rights for the purposes of text and data mining and provided that such use does not have a commercial objective;",,,,"Section 19. Free use of works for scientific, educational, informational and judicial purposes
The following is permitted without the authorisation of the author and without payment of remuneration if mention is made of the name of the author of the work, if it appears thereon, the name of the work and the source publication: ...
2) the use of a lawfully published work for the purpose of illustration for teaching and scientific research to the extent justified by the purpose and on the condition that such use is not carried out for commercial purposes; 
3) processing of an object of rights for the purposes of text and data mining and provided that such use does not have a commercial objective;


3) the reproduction of a lawfully published work for the purpose of teaching or scientific research to the
extent justified by the purpose in educational and research institutions whose activities are not carried out for
commercial purposes;
31) processing of an object of rights for the purposes of text and data mining and provided that such use does
not have a commercial objective;
[RT I, 07.07.2016, 1 - entry into force 01.01.2017]
",
Eswatini (Swaziland),"COPYRIGHT AND NEIGHBOURING RIGHTS ACT, 2018 - https://wipolex.wipo.int/en/text/487116",,"Article 16 Fair dealing for the purpose of research or private study by the person using the work Infringement of copyright (Fair dealing for research)
(1) The copyright in the work shall not be infringed by any fair dealing for the purposes of research or private study by the person using the work. (2) reproducing the work shall not constitute fair dealing for the purposes if subsection (1) of the person who reproduces it know or has reason to believe it will result in copies of substantially the same material being provided to more than 1 person at substantially the same time",,,,
Ethiopia,Copyright and Neighboring Rights Protection Proclamation No. 410/2004 (amended) https://wipolex.wipo.int/en/text/174729,,,,,"Article 9. Reproduction for Personal Purposes
1. Notwithstanding the provisions ofArticle 7 (IXa) of this Proclamation, the owner of copyright cannot forbid private reproduction, of a published work in a single copy by a physical person exclusively for his own personal purposes.
2/ The provisions of Sub-Article (I) of this Article shall not extend to reproduction; I
a) of a work of architecture in the form of a building or other construction;
b) of musical work in the form of notation; or of the original or a copy made and signed by the author of a work of fine art.
c) of the whole or a substantial part of a database in digital form; '. .
d) of a computer program except as provided in Article 14 of this Proclamation; or
e) which would conflict with or unreasonable harm the normal exploitation of the work or the legitimate interest of the author.
",
European Union (EU),,,,,"DSM Directive. Article 3. Text and data mining for the purposes of scientific research
1. Member States shall provide for an exception to the rights provided for in Article 5(a) and Article 7(1) of Directive 96/9/EC, Article 2 of Directive 2001/29/EC, and Article 15(1) of this Directive for reproductions and extractions made by research organisations and cultural heritage institutions in order to carry out, for the purposes of scientific research, text and data mining of works or other subject matter to which they have lawful access.
2. Copies of works or other subject matter made in compliance with paragraph 1 shall be stored with an appropriate level of security and may be retained for the purposes of scientific research, including for the verification of research results.
3. Rightholders shall be allowed to apply measures to ensure the security and integrity of the networks and databases where the works or other subject matter are hosted. Such measures shall not go beyond what is necessary to achieve that objective.
4. Member States shall encourage rightholders, research organisations and cultural heritage institutions to define commonly agreed best practices concerning the application of the obligation and of the measures referred to in paragraphs 2 and 3 respectively.","
Article 4. Exception or limitation for text and data mining
1. Member States shall provide for an exception or limitation to the rights provided for in Article 5(a) and Article 7(1) of Directive 96/9/EC, Article 2 of Directive 2001/29/EC, Article 4(1)(a) and (b) of Directive 2009/24/EC and Article 15(1) of this Directive for reproductions and extractions of lawfully accessible works and other subject matter for the purposes of text and data mining.
2. Reproductions and extractions made pursuant to paragraph 1 may be retained for as long as is necessary for the purposes of text and data mining.
3. The exception or limitation provided for in paragraph 1 shall apply on condition that the use of works and other subject matter referred to in that paragraph has not been expressly reserved by their rightholders in an appropriate manner, such as machine-readable means in the case of content made publicly available online.
4. This Article shall not affect the application of Article 3 of this Directive.
",
Falkland Islands,The Copyright (Falkland Islands) Order 1963 https://www.legislation.gov.uk/uksi/1963/1037/made/data.pdf,,,,,"""6.-(1) No fair dealing with a literary, dramatic or musical work for purposes of research or private study shall constitute an infringement of the copyright in the work. """,
Faroe Islands ,,,,,,,
Fiji,Copyright Act 1999 https://wipolex.wipo.int/en/text/179081,,,,,"Section 42. Research or private study
(1) Copying a work for the purposes of research or private study by an individual does not infringe copyright in a literary, dramatic, musical or artistic work, unless there is a collective licence available of which the individual is or should be aware under which the copying can be done.
",
Finland,"Copyright Act (Act No. 404/1961 of July 8, 1961, as amended up to Act No. 608/2015 of May 22, 2015) https://wipolex.wipo.int/en/text/397616",,,,,"Section 12(1). Production of copies of works for private use 
From published works, each person can produce individual copies for their individual use. Copies made in this way may not be used for other purposes.
Production of copies for the client's individual use may also be commissioned by outsiders
The statutes do not apply to the production of copies of musical works, film works, utensils or sculptures, nor the reproduction of other works of art through artistic process.
This section does not apply to computer programs in machine-readable form or construction work.
This section does not apply to computer programs in machine-readable form, production of machine-readable copies of databases in machine-readable form or construction work. 

",
France ,"Intellectual Property Code, 1992 (amended by Act No. 2016-925 of July 7, 2016) (Fr.), https://wipolex.wipo.int/en/text/540561",,,,,"""Article L122-5. (Private/personal use) 
When the work has been disclosed, the author cannot prohibit: ... 
10°. Copies and digital reproductions made from a lawful source for the purposes of mining text and data included in or associated with scientific publications, for public research purposes, excluding all commercial purposes. A decree fixes the conditions under which the exploration of texts and data is implemented, as well as the methods of conservation and communication of the files produced at the end of the research activities for which they were produced; these files constitute research data;""",
French Guiana,,,,,,,
French Polynesia ,,,,,,,
French Southern and Antarctic Islands,,,,,,,
Gabon,"Law on the Establishment of the Protection for Copyright and Neighboring Rights, 1987 (Law No. 1/87 of July 29, 1987) (Gabon), https://wipolex.wipo.int/en/text/362136",,,,,"Article 33. (Private/personal use) 
When the work has been lawfully made available to the public, the author may not prohibit: communications such as performance, execution, diffusion: 
-where they are private, made exclusively within a family circle and generate no receipts of any kind; 
-if they are made free of charge for strictly educational or welfare purposes or during a religious service in premises reserved for that purpose;
reproductions, translations and adaptations intended for strictly personal and private use.

Bangui. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

",
Gambia ,,,,,,"Art 27. (1) Notwithstanding the provisions of section 9(1)(a) and subject to the provisions of subsection (2), the private reproduction of a published work in a single copy is permitted without the authorisation of the author or other owner of copyright, where the reproduction is made by an individual exclusively for his or her own personal purposes.
(2) The permission under subsection (1) does not extend to reproduction ­ (a) of a work of architecture in the form of building or any other construction; (b) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation; (c) of the whole or of a substantial part of a database in digital form; (d) of a computer programme, except as provided in section 28; and (e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright.",
Georgia ,,"Law of Georgia No. 2112-IIS of June 22, 1999, on Copyright and Neighboring Rights (as amended up to Law No. 3032 of May 4, 2010) https://wipolex.wipo.int/en/text/208969",,,,"Art 21 (1) A natural person may reproduce a work made available to the public by means of lawful publication or making available to the public only for personal use without consent of the author or other owner of copyright and without payment of remuneration to him/her, except for the cases stipulated by Paragraphs 2 and 3 of this Article.
(2) Paragraph one of this Article shall not apply in case of: a) reproduction of architectural works in the form of buildings; b) reproduction of electronic databases, except for the cases provided for by Articles 28 and 30 of this Law; c) reproduction of computer programs, except for the cases provided for by Articles 28 and 29 of this Law; d) reprographic copying of books (wholly), music notations (musical work in a graphic form) and works of fine arts; e) reproduction of an audiovisual work or a work fixed in a phonogram or videogram. 
",
Germany,,"Section 60d. Text and data mining
(1) In order to enable the automatic analysis of large numbers of works (source material) for scientific research, it shall be permissible:
1. to reproduce the source material, including automatically and systematically, in order to create, particularly by means of normalisation, structuring and categorisation, a corpus which can be analysed and
2. to make the corpus available to the public for a specifically limited circle of persons for their joint scientific research, as well as to individual third persons for the purpose of monitoring the quality of scientific research. 
In such cases, the user may only pursue non-commercial purposes. 

",,,,"Section 60c. Scientific research
(1) Up to 15 per cent of a work may be reproduced, distributed and made available to the public for the purpose of non-commercial scientific research
1. for a specifically limited circle of persons for their personal scientific research and
2. for individual third persons insofar as this serves the monitoring of the quality of scientific research.
(2) Up to 75 per cent of a work may be reproduced for personal scientific research.
(3) In derogation from subsections (1) and (2), full use may be made of illustrations, isolated articles from the same professional or scientific journal, other small-scale works and out-of commerce works.
(4) Subsections (1) to (3) do not authorise the recording of the public recitation, performance or presentation of a work onto a video or audio recording medium and the subsequent making available to the public of that recording.
",
Ghana ,"Copyright Act, 2005 (Act 690) https://wipolex.wipo.int/en/text/148037",,,,,"Art. 19(1-2) - no full books Section 19. Permitted use of work protected by copyright 
(1) The use of a literary or artistic work either in the original language or in translation shall not be an infringement of the right of the author in that work and shall not require the consent of the owner of the copyright where the use involves:
(a) the reproduction, translation, adaptation, arrangement or other transformation of the work for exclusive personal use of a person, if the user is an individual and the work has been made public, 
(...)
(2) The permission under subsection (1)(a) shall not extend to reproduction 
(a) of a work of architecture in the form of building or other construction; 
(b) in the form of reprography of a whole or of a substantial part of a book or of musical work in the form of notation; 
(c) of the whole or of a substantial part of a database in digital form; and 
(d) of a computer program, except as provided in section 16. 

",
Gibraltar,Intellectual Property (Copyright and related right) Act 2005 https://www.gibraltarlaws.gov.gi/legislations/intellectual-property-copyright-and-related-rights-act-2005-1025,,,,,"Art. 37(1) Fair dealing with a literary, dramatic, musical or artistic work for the purposes of research for a non-commercial purpose does not infringe any copyright in the work provided that it is accompanied by a sufficient acknowledgement",
Greece,"LAW 2121/1993, INTELLECTUAL PROPERTY, RELATED RIGHTS AND CULTURAL MATTERS (UPDATED UP TO AND INCLUDING LAW 4531/2018) - https://wipolex.wipo.int/en/text/480968",,,,,"Article 18. Reproduction for private use
1. Subject to the following paragraphs it is allowed, without the author's permission and without payment, the reproduction of a work that has been legally published, provided that reproduction is for the private use of the person making it. It is not private use, the use in the context of a business or service or organization.",
Greenland,Follows Denmark's law,,,,,"Section 12. Reproduction for Private Use
12.(1) Anyone is entitled to make or have made, for private purposes, single copies of works which have been made public if this is not done for commercial purposes. Such copies must not be used for any other purpose.
(2) The provision of subsection (1) does not provide the right to
(i) construct a work of architecture;
(ii) make a copy of a work of art by casting, by printing from an original negative or base, or in any other manner implying that the copy can be considered as an original;
(iii) make copies of computer programs in digitized form;
(iv) make copies in digital form of databases if the copy is made on the basis of a reproduction of the database in digital form; or
(v) make single copies in digital form of other works than computer programs and databases unless this is done exclusively for the personal use of the copying person himself or his household.
(3) Notwithstanding the provision in subsection (2) (v), it is not permitted without the consent of the author to produce copies in digital form on the basis of a copy that has been lent or hired.",
Grenada,"Copyright Act (Cap. 67, Act No. 21 of 2011) https://wipolex.wipo.int/en/text/378289",,,,,"Section 11. Reproduction and other utilization for teaching
11.—(1) The following acts shall be permitted without authorization of the author, or other owner of copyright:
(a) the utilization by way of illustration for teaching, or scientific research purposes of a work that has lawfully been made available to the public, in publications, broadcasting or sound or visual recordings, provided that such utilization is compatible with fair practice, and does not exceed the extent justified by the purpose; the utilization can also include the making available of such works in computer networks, provided that access to the works is only available to enrolled pupils or students and their teachers; 
",?
Guadeloupe,Follows French law,,,,,,
Guatemala ,"Law on Copyright and Related Rights, 1998 (Decree No. 33-98, as amended up to Decree No. 11-2006 of the Congress of the Republic) (Guat.), https://wipolex.wipo.int/en/text/408729",,,,,,"Article 63. (Communication exceptions)
The works protected by this Law may be lawfully communicated, without need authorization from the author or payment of any remuneration when communication:
a) is conducted in an exclusively domestic environment, provided that there is an interest economic, direct or indirect, and that communication be not deliberately disseminated to exterior, in whole or in part, by any means.
b) is effected exclusively educational purposes in the course of the activities of an institution of teaching staff and students of that institution, provided that communication not for profit, direct or indirect, and that the audience consists solely of the staff and students of the school or parents or teachers of students and others directly linked to the activities of the institution.
c) it is essential for the practice of a judicial or administrative proceedings

ARTICLE 66.
41 shall be lawful without authorization of the right holder and without 
payment of remuneration, with an obligation to mention the source and name of the author 
of the work used, if indicated.
....
d) Include in one's own work fragments of other nature written, audio or audiovisual 
and works of plastic character, photographic or similar, always concerned works 
have already been disclosed and that their inclusion is by way of quotation or for 
analysis purposes teaching or research.
"
Guinea,"Act No. 043/APN/CP of August 9, 1980, adopting Provisions Relating to Copyright and Neighboring Rights https://wipolex.wipo.int/en/text/328659",,,,,"Article 10. (Private/personal use) 
Where the work has been lawfully made available to the public, the author may not prohibit: 
. . . 
(ii) reproductions, translations and adaptations or collections of works which, by reason of the choice intended for strictly personal and private use;

Bangui Agreement. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

",
Guinea-Bissau,Bangui Agreement,,,,,"Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.
(2) Paragraph (1) shall not apply to
(i) the reproduction of works of architecture in the form of buildings or other similar constructions;
(ii) the reprographic reproduction of works of fine art in a limited quantity, the graphical presentation of musical works (scores) and exercise manuals and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases provided for in Article 18;
(v) any other reproduction of a work that would prejudice the normal exploitation of the work or would cause unwarranted prejudice to the legitimate interests of the author.
",
Guyana,Copyright Act 1956 (Cap. 74) https://wipolex.wipo.int/en/text/229365,,,,,"Section 6. General Exceptions from Protection of Literary, Dramatic and Musical Works
1) No fair dealing with a literary, dramatic or musical work for purposes of research or private study shall constitute an infringement of the copyright in the work. 
(2) No fair dealing with a literary, dramatic or musical work, shall constitute an infringement of the copyright in the work if it is for purposes of criticism or review, whether of that work or of another work, and is accompanied by a sufficient acknowledgment. 
",
Haiti,"Decree Of October 12, 2005, On Copyright https://wipolex.wipo.int/en/text/158775",,,,,"Article 8 (Private Use)
Notwithstanding the provisions of article 7, and subject to those of paragraph (2) of this article, it is allowed, without the authorization of the author and without the payment of remuneration. to reproduce a work lawfully published exclusively for the private use of the user.
Paragraph (1) does not apply:
the reproduction of architectural works in the form of buildings or others similar constructions;
reprographic reproduction of an entire book or a musical work in the form graphics (scores);
the reproduction of all or significant parts of databases: data in the form digital;
the reproduction of computer programs except in the cases provided for in article 16; and
no other reproduction of a work which would prejudice the normal exploitation of the work or would cause undue hardship to the legitimate interests of the ""author.
",
Honduras,"Law on Copyright And Related Rights (Decree No. 4-99-E, As Amended By Decree No. 16-2006) https://wipolex.wipo.int/en/text/234858",,,,,"Article 47. (private/personal use) 
Regarding copies of lawfully acquired works by a person, it is allowed without authorization of the author or remuneration, reproduction of a copy of the work for the personal and exclusive use of that person, made by him, with his own means, provided that happens in special cases, that does not attempt the normal exploitation of the work or cause unjustified damage to the author's legitimate interests.
",
Hong Kong SAR,"Copyright Ordinance (Chapter 528) (consolidated version of June 1, 2011) https://wipolex.wipo.int/en/text/181889","Article 38. Research and private study
(1) Fair dealing with a work for the purposes of research or private study does not infringe any copyright in the work or, in the case of a published edition, in the typographical arrangement. (Amended 15 of 2007 s. 12)",,,,,
